Product_ID,Game_Title,Platform,Price,Stock_Status,Publisher
501,Elden Ring,PC,59.99,In Stock,FromSoftware
501,Elden Ring,PC,59.99,In Stock,FromSoftware
502,Cyberpunk 2077,PS5,29.99,In Stock,CD Projekt
502,Cyberpunk 2077,PS5,49.99,In Stock,CD Projekt
503,Halo Infinite,Xbox,59.99,Out of Stock,Xbox Game Studios
503,Halo Infinite,Xbox,59.99,OUT OF STOCK,Xbox Game Studios
504,Stardew Valley,Switch,14.99,In Stock,ConcernedApe
504,Stardew Valley,Switch,14.99,Discontinued,ConcernedApe
505,Minecraft,PC,26.95,In Stock,Mojang
506,Terraria,PC,9.99,In Stock,Re-Logic
506,Terraria,PC,9.99,In Stock,Re-Logic
507,Hades,PS5,24.99,In Stock,Supergiant Games
507,Hades,PS5,24.99,In Stock,Supergiant
508,Baldur's Gate 3,PC,59.99,In Stock,Larian Studios
508,Baldur's Gate 3,PC,0.00,In Stock,Larian Studios
509,Fallout 4,Xbox,19.99,In Stock,Bethesda
